dataId,genre
102622,Crime
102622,Drama
102622,Mystery
102623,Comedy
102623,Musical
102623,Romance
102624,Documentary
102625,Comedy
102625,Family
102626,Action
102626,Comedy
102626,Horror
102627,Action
102627,Drama
102628,Drama
102628,History
102628,War
102629,Documentary
102630,Drama
102631,Comedy
102632,Action
102632,Drama
102633,Documentary
102634,Documentary
102634,Sport
102635,Adventure
102635,Comedy
102635,Horror
102636,Documentary
102637,Comedy
102637,Drama
102637,Romance
102638,Drama
102639,Drama
102639,Mystery
102639,Thriller
102640,Documentary
102640,Biography
102641,Documentary
102642,Drama
102642,Horror
102642,Thriller
102643,Action
102643,Drama
102643,Sport
102644,Thriller
102645,Action
102645,Adventure
102645,Crime
102646,Drama
102647,Action
102647,Comedy
102647,Thriller
102648,Sci-Fi
102648,Comedy
102648,Horror
102649,Action
102649,Sci-Fi
102650,Drama
102651,Drama
102652,Action
102652,Comedy
102652,Crime
102653,Thriller
102654,Drama
102654,Romance
102655,Western
102656,Comedy
102656,Drama
102657,Comedy
102658,Short
102658,Horror
102658,Mystery
102659,Drama
102659,Thriller
102660,Drama
102661,Crime
102661,Thriller
102662,Comedy
102663,Documentary
102663,Music
102664,Comedy
102665,Documentary
102666,Drama
102666,History
102666,Romance
102667,Action
102667,Comedy
102667,Drama
102668,Crime
102668,Drama
102668,Thriller
102669,Documentary
102670,Short
102670,Drama
102670,Romance
102671,Drama
102672,Comedy
102673,Comedy
102674,Documentary
102675,Action
102675,Adventure
102675,Comedy
102676,Drama
102677,Animation
102677,Short
102677,Comedy
102678,Comedy
102679,Documentary
102679,Short
102680,Horror
102681,Animation
102681,Crime
102681,Drama
102682,Drama
102683,Short
102683,Crime
102683,Drama
102684,Crime
102684,Drama
102685,Documentary
102685,Comedy
102686,Comedy
102687,Documentary
102687,Short
102687,Music
102688,Comedy
102688,Short
102689,Documentary
102689,Short
102690,Animation
102690,Short
102690,Musical
102691,Comedy
102691,Horror
102692,Comedy
102693,Documentary
102694,Thriller
102695,Comedy
102696,Drama
102696,Romance
102697,Comedy
102698,Comedy
102699,Drama
102699,Music
102700,Drama
102701,Action
102701,Comedy
102702,Biography
102702,Comedy
102702,Drama
102703,Crime
102703,Drama
102704,Adventure
102704,Drama
102704,Family
102705,Action
